,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Result
841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
850,27,8,15,5,10,7,7,7,2,0,3,2,6,28,1
851,29,6,19,3,9,4,4,6,2,2,4,1,3,19,0
852,32,8,17,4,9,3,3,1,2,0,0,1,2,23,1
853,37,10,16,3,6,5,5,7,8,0,1,2,4,28,1
854,35,8,15,1,5,1,2,6,8,1,2,5,1,18,1
855,34,7,19,1,8,1,1,7,7,0,0,3,2,16,0
856,34,13,23,5,12,4,4,6,1,1,0,2,1,35,1
857,39,10,26,6,13,2,2,6,2,0,2,3,3,28,0
858,41,8,17,2,8,4,5,7,6,0,4,2,3,22,0
859,40,12,23,5,14,0,0,5,6,3,0,2,2,29,1
860,44,10,22,7,15,0,0,9,10,1,4,4,5,27,1
861,46,11,23,5,11,2,2,6,9,0,1,1,2,29,1
862,38,11,26,9,17,2,2,7,8,0,1,3,5,33,1
863,39,3,16,1,10,4,4,5,6,0,1,3,2,11,1
864,39,12,27,7,15,6,6,6,4,3,3,4,2,37,1
865,20,7,11,5,9,2,2,2,4,1,1,2,1,21,0
866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
867,24,8,14,3,8,4,4,0,4,0,1,3,5,23,0
868,26,6,11,2,3,9,9,3,5,0,2,3,5,23,0
869,12,5,10,4,7,2,2,3,4,1,1,0,0,16,0
870,37,11,20,5,9,5,5,8,9,0,1,4,3,32,1
871,37,13,24,5,9,0,1,4,8,0,2,2,4,31,1
872,39,10,23,6,16,4,4,4,6,0,0,4,2,30,0
873,30,11,18,6,13,1,2,4,8,0,2,0,3,29,1
874,32,15,24,11,16,10,10,4,3,1,0,1,2,51,1
875,33,10,18,6,11,3,3,4,2,0,1,2,3,29,1
876,36,11,26,7,15,6,7,7,3,0,1,1,2,35,1
877,25,7,9,2,4,7,7,8,5,1,3,3,1,23,1
