,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Result
517,37,9,21,3,9,1,1,4,6,0,1,1,5,22,1
518,44,10,29,7,18,13,14,5,9,0,0,3,3,40,1
519,38,11,20,6,8,11,12,8,9,0,1,4,5,39,1
520,38,8,18,4,8,2,2,2,7,0,4,1,4,22,1
521,41,7,19,2,11,3,4,5,6,0,0,0,3,19,0
522,40,8,21,2,10,5,7,2,6,1,1,1,4,23,0
523,39,11,22,4,9,7,9,8,5,0,2,4,4,33,1
524,33,6,16,6,13,0,0,7,5,0,6,0,5,18,1
525,39,11,25,8,13,2,2,6,10,0,0,3,4,32,1
526,39,13,22,6,11,2,3,6,5,0,2,3,1,34,1
527,37,13,21,5,11,2,3,3,6,0,1,2,6,33,1
528,35,12,19,7,9,9,10,5,7,1,2,2,4,40,1
529,31,7,18,6,13,3,3,1,4,0,0,3,0,23,0
530,42,7,21,3,11,9,12,8,6,0,5,3,3,26,1
531,43,10,20,2,6,4,4,4,8,0,2,1,4,26,1
532,42,5,23,2,15,7,8,6,5,0,0,4,6,19,0
533,44,10,20,7,13,0,0,6,6,1,3,2,6,27,0
534,41,8,17,4,7,2,2,2,7,0,1,1,4,22,1
535,42,13,23,7,13,4,4,7,4,0,2,2,5,37,1
536,43,8,19,3,11,6,8,6,8,0,3,3,3,25,1
537,19,5,7,3,5,1,2,4,2,0,0,6,4,14,1
538,26,6,14,6,11,12,15,2,7,1,1,1,2,30,0
539,26,5,13,1,8,3,5,1,7,0,1,4,4,14,0
540,17,6,7,1,1,6,6,1,6,0,1,1,0,19,1
541,22,7,13,5,10,0,0,3,4,0,0,0,3,19,0
542,29,9,14,4,8,2,2,4,10,0,4,4,5,24,1
543,36,14,26,5,12,7,7,6,7,0,2,1,2,40,1
544,27,9,15,4,9,3,4,7,6,0,1,4,1,25,1
545,36,17,27,8,14,11,11,4,9,0,4,3,2,53,1
546,28,10,16,4,8,6,6,3,3,1,3,2,3,30,1
547,33,8,17,7,11,8,9,5,4,0,1,3,0,31,1
548,35,12,22,8,16,2,3,7,10,1,3,1,4,34,1
549,39,8,18,2,10,6,7,6,3,0,2,1,6,24,1
550,37,7,18,3,7,5,6,5,5,0,3,1,5,22,1
551,35,9,21,3,10,7,7,5,5,1,5,1,4,28,1
552,38,15,25,8,13,8,8,5,4,0,2,3,3,46,1
553,44,13,31,5,16,3,3,3,6,0,1,1,4,34,1
554,40,13,23,5,10,6,7,2,9,0,2,1,7,37,1
555,37,11,22,6,14,12,12,11,4,0,3,2,7,40,1
556,36,9,20,3,11,6,6,5,4,0,4,2,6,27,1
557,28,8,16,3,8,0,0,4,7,0,3,0,4,19,1
558,30,10,21,4,12,0,0,4,9,0,2,1,0,24,1
559,31,11,20,9,16,10,11,6,8,0,2,2,6,41,1
560,30,4,7,3,6,8,8,4,6,0,3,1,1,19,1
561,37,9,20,4,8,4,4,6,5,0,2,2,2,26,1
562,31,14,18,8,11,4,4,3,5,0,0,2,5,40,1
563,38,14,24,9,15,7,9,2,7,0,0,4,3,44,1
564,32,11,17,5,9,1,4,5,2,0,1,2,4,28,1
565,36,11,23,3,10,4,6,7,10,0,3,1,4,29,1
566,47,9,27,6,13,14,14,11,8,0,2,4,8,38,1
567,35,10,22,2,9,6,7,7,5,0,1,2,2,28,0
568,30,10,14,2,5,3,5,2,7,0,1,4,3,25,1
569,39,7,14,2,6,10,11,10,9,0,2,2,6,26,1
570,34,5,14,2,8,4,4,5,9,0,3,2,3,16,1
571,37,6,15,1,4,6,6,7,7,0,2,3,3,19,1
572,30,7,16,6,13,3,4,14,10,0,2,3,2,23,1
573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
575,14,2,6,1,5,0,0,1,4,0,2,1,2,5,1
576,32,12,21,5,10,1,1,3,4,0,2,4,2,30,1
